ser,date,text,label
1,7/25/2020 0:52,Dont be no $ covid19 stocks,negative
2,7/27/2020 4:24,to The for Why do not we do w The Orange,neutral
3,8/30/2020 0:07,COVID19associated in two with rare kudos to for,negative
4,8/17/2020 8:13,I ' been by many whether this unique report could be a case,neutral
5,8/17/2020 7:23,are faring better than against COVID19 This could be a big reason,negative
6,8/4/2020 4:19,Pence of saying response to COVID19 was,positive
7,7/25/2020 2:07,We are not disposable does not get to kill us all just because he ' s losing the to the election ,negative
8,8/30/2020 4:53,This is Trump ' s All the violence and unrest is happening on YOUR WATCH Over 18000,negative
9,8/10/2020 15:12,The daily death count from COVID19 been nearly flat,negative
10,8/2/2020 18:09,said some questionable himself ; not a medical doctor Just because one donate,positive
11,8/18/2020 17:22,for ; faculty Ray to pay all employee,neutral
12,8/29/2020 23:31,is either a mental crisis or he is very desperate woke progressive,negative
13,8/6/2020 15:24,Clean your phone ! and share this image Get full COVID19 disinfectant here,positive
14,8/4/2020 5:14,covid19 aerosol transmission might be even worse than we think 6 may not be enough,negative
15,7/30/2020 20:25,Deport people with pending approvable green card Prosecute men,positive
16,8/11/2020 6:52,Why not make free from COVID19 within two while healthy can live without soc,positive
17,8/14/2020 3:45,Please consider this joyous way of making free from COVID19 by Screening for healthy Secure the,positive
18,7/29/2020 16:01,Health Now Experimental COVID19 vaccine upper and lower in nonhuman National,positive
19,7/28/2020 3:33,I this might work covid19 pandemic COVID19,positive
20,7/27/2020 3:24,It may be a failure to act promptly but let ' s not make it a habit Wear your mask COVID19,positive
21,7/31/2020 18:13,reveal how will handle any covid19 they find,neutral
22,8/16/2020 2:48,Was the cause of death Covid19 ? BREAKING news Trump,negative
23,8/8/2020 11:10,An explanation for why some household of COVID19 dont get sick or why,negative
24,7/28/2020 3:22,After reading that at least one of it is high school apparently that only,neutral
25,7/28/2020 4:17,lots COVID19 aid while many legitimate small get a dime Di,negative
26,8/22/2020 1:29,Just brilliant Combinatorial to streamline covid19 testing Finding to most chance,positive
27,8/14/2020 2:22,One reason China to no doubt is not ready to step up ,positive
28,7/30/2020 20:13,Or ask the family of someone who in his ICE of COVID19 a child he from her mother,neutral
29,8/7/2020 13:06,you a month or so ago our testing goal should be 300kday Now testing 700kday,negative
30,8/17/2020 3:29,WIRED AI a Potential Treatment for Covid19 The company a k,positive
31,8/18/2020 17:52,and perhaps the biggest misperception is about the overall survival rate It is in fact well over 99 ,negative
32,8/10/2020 16:22,interesting read in the about child welfare in CA during COVID19 If you want to,positive
33,7/29/2020 16:03,of other call on General Assembly to reconvene to ad,neutral
34,7/26/2020 7:01,HOME FRONT COMMAND Needs to take control and lead us out of the 2020 PANDEMIC covid19,positive
35,7/26/2020 6:46,Do The Right Next Thing HOME FRONT COMMAND needs to take the lead of the PANDEMIC Covid19,positive
36,7/31/2020 17:44,outgoing surprise Q2 profit COVID19 5G China,negative
37,8/7/2020 13:01,with health system expert Ben How covid19 could impact hospital consolidation,negative
38,8/10/2020 15:33,is the New Terrorism ' ' s 10 August Column COVID19,negative
39,7/25/2020 3:34,seiu1199wvkyoh Union Service a nonprofit behavioral health organization in are,positive
40,7/31/2020 18:56,the way this is out it might reach the death toll before August 22nd COVID19,negative
41,7/25/2020 3:52,COVID19 another thing away HHN30 is until next year What I bummer People WEAR A MASK ,negative
42,8/6/2020 16:30,19 million hospital bill No wonder are every illness as from COVID19 COVID19,negative
43,8/18/2020 18:07,247 million gone out to or will in the next week goes ahead and it all,negative
44,8/2/2020 19:00,Amid covid19 have particularly for,positive
45,7/26/2020 3:15,$ an eye for that 50ma weekly break !! It will a big breakout once it If it $ 100 i,negative
46,8/8/2020 13:23,ADVANCED WITH STRATEGIC COVID19 WITH THE ONLY THAT ARE PROVEN TO KILL,negative
47,7/25/2020 4:01,become with in the search of a cure for COVID19,positive
48,7/25/2020 1:33,stocks COVID19 ; aka the,neutral
49,8/2/2020 18:16,; drive madness If you do a search the top are extremely,negative
50,7/28/2020 6:17,is finally about to off a little bit tomorrow $ end of week and rolling too Stocks,neutral
51,7/31/2020 18:35,4 days is a lot of time for a ER run up Not to mention the other COVID19 catalyst stocks,negative
52,7/31/2020 18:23,talking about today and an COVID19 eye wipe ER 826,negative
53,7/30/2020 20:14,1 million COVID19 per day Needs this now,negative
54,8/12/2020 9:46,drug is the most promising tackle COVID19 in four of research $ $ $ $ $ ,positive
55,7/26/2020 5:18,Hello as my still going attach is the Adva27a full parent With the same technology we hope to,negative
56,8/10/2020 15:19,was just a gift today 1258 daily level worked very well for a short trade ,positive
57,8/6/2020 15:01,VERB,neutral
58,7/30/2020 20:32,can produce 1 MILLION PER DAY !!! MORE THAN ANYONE ELSE !! THIS IS VERY GOOD,positive
59,8/10/2020 15:36,Money is extremely emotional ' Here is how your personality a role in personal,neutral
60,8/10/2020 16:20,A image of the COVID19 copy machine ' here or you can,negative
61,8/22/2020 6:54,Covid19 tied to the motorcycle rally in South have across state ' COVID19,negative
62,7/25/2020 1:12,Do not give into COVID19 fatigue ' Canada as rise,negative
63,8/8/2020 14:22,Everyone tested positive ' Covid19 agriculture in ' s heartland The G,negative
64,7/31/2020 18:42,This is an method used to kill millions of during disease like COVID19 a,negative
65,7/25/2020 1:10,Health Care In Toward A Sustainable Workplace Culture ' ; ,positive
66,8/4/2020 7:17,Huge foolish mistake ' split over giant bike rally as rise No problem,negative
67,8/2/2020 17:08,It is easier to fool people than to convince them that they have been ' Covid19,negative
68,8/14/2020 2:05,Living at work ' leadership tested under crisis The role greatly expanded due t,negative
69,8/6/2020 16:29,' is to the COVID19related stress many already face from spoke to,negative
70,7/31/2020 17:25,Much of the infrastructure been and health are skeletal As increase the already,negative
